open,high,low,close,tick_volume,spread,real_volume,state_hat_H1,margin_H1,ctx_session_bucket,ctx_state_age,ctx_dist_vwap_atr,ctx_vwap_source,ctx_vwap_anchor,LOOK_FOR_transition_repricing_near_vwap,LOOK_FOR_transition_dislocated_from_vwap,LOOK_FOR_balance_dislocated_from_vwap,quality_label,quality_label_full,base_state
855.4,855.6,855.3,855.3,0,0,0,1,0.6799359872758219,NY_PM,2,0.3150648662960446,day_anchor_std,server_midnight,1,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
855.2,855.2,855.1,855.1,0,0,0,1,0.6799359872758219,NY_PM,2,0.3150648662960446,day_anchor_std,server_midnight,1,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
855.2,855.2,855.2,855.2,0,0,0,1,0.6799359872758219,NY_PM,2,0.3150648662960446,day_anchor_std,server_midnight,1,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
851.8,852.1,851.6,851.6,0,0,0,1,0.9076953169866785,NY,3,0.03606388459556107,day_anchor_std,server_midnight,1,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
851.4,851.4,849.8,851.2,0,0,0,1,0.9076953169866785,NY,3,0.03606388459556107,day_anchor_std,server_midnight,1,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
851.4,851.9,850.7,851.2,0,0,0,1,0.7788524643827477,NY,4,0.4174653887113966,day_anchor_std,server_midnight,1,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
851.4,854.3,851.35,853.35,0,0,0,1,0.7788524643827477,NY,4,0.4174653887113966,day_anchor_std,server_midnight,1,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
853.65,856.4,853.4,853.4,0,0,0,1,0.7788524643827477,NY,4,0.4174653887113966,day_anchor_std,server_midnight,1,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
853.0,855.35,852.8,854.1,0,0,0,1,0.7788524643827477,NY,4,0.4174653887113966,day_anchor_std,server_midnight,1,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
854.25,857.25,854.25,856.3,0,0,0,0,0.9074164680218428,NY,1,1.268478779208401,day_anchor_std,server_midnight,0,0,1,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
856.0,856.8,854.35,855.6,0,0,0,0,0.9074164680218428,NY,1,1.268478779208401,day_anchor_std,server_midnight,0,0,1,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
855.4,859.4,855.4,858.0,0,0,0,0,0.9074164680218428,NY,1,1.268478779208401,day_anchor_std,server_midnight,0,0,1,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
857.9,863.0,857.8,860.4,0,0,0,0,0.9074164680218428,NY,1,1.268478779208401,day_anchor_std,server_midnight,0,0,1,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
853.45,853.45,852.3,852.4,0,0,0,1,0.4184890323455735,NY_PM,1,0.632968267340594,day_anchor_std,server_midnight,1,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
848.8,848.8,845.8,846.9,0,0,0,1,0.9906874895480743,NY,2,1.7460317460317836,day_anchor_std,server_midnight,0,1,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
847.2,848.5,846.9,847.75,0,0,0,1,0.9906874895480743,NY,2,1.7460317460317836,day_anchor_std,server_midnight,0,1,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
847.85,847.85,844.0,845.1,0,0,0,1,0.9906874895480743,NY,2,1.7460317460317836,day_anchor_std,server_midnight,0,1,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
845.5,845.6,841.7,843.4,0,0,0,1,0.9906874895480743,NY,2,1.7460317460317836,day_anchor_std,server_midnight,0,1,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
843.9,844.2,839.8,841.8,0,0,0,1,0.9972710633007348,NY,3,1.9533991228070224,day_anchor_std,server_midnight,0,1,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
842.4,843.5,840.6,842.55,0,0,0,1,0.9972710633007348,NY,3,1.9533991228070224,day_anchor_std,server_midnight,0,1,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
842.9,845.3,841.6,842.05,0,0,0,1,0.9972710633007348,NY,3,1.9533991228070224,day_anchor_std,server_midnight,0,1,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
